Keyterm,Info
"A-614 
 Revision 2 
 AERONCA 
 LC 
 LCS 
 March 7, 2005",
Type Certificate Holder,"National Aeronca Association 
 806 Lockport Road 
 P.O. Box 2219 
 Terre Haute, IN 47802 
 Name change from Aeronca to National Aeronca Association March 7, 2005."
"I - Model LC, 2 PCLM, Approved July 25, 1936.",
Engine,Warner Scarab Jr.
Engine limits,"Maximum, except takeoff -- in. Hg., 2025 rpm (90 hp) 
 Takeoff (one minute) -- in. Hg., 2025 rpm (90 hp)"
Airspeed limits,"Level flight or climb - 120 mph Ind. 
 Glide or dive - 162 mph Ind. 
 Flaps (See Item 17) - 108 mph Ind."
Propeller,Maximum permissible diameter 88 in.
CG range,(+11.5) and (+17)
Empty weight CG range,Not available
Maximum weight,1680 lbs.
Number of Passengers,1 (+19)
Maximum baggage,115 lbs. (+39)
Fuel capacity,28 gallons (one tank at 19 gallons in right wing (+27) and one at 9 gallons in fuselage (-11.5)
Oil capacity,3 gallons (-21)
Serial Nos eligible,"2015, 2021, 2028, and up manufactured prior to September 30, 1939 eligible. Approval expired 
 as of that date."
"II - Model LCS, 2 PCSM, Approved July 25, 1936.",
Engine,Warner Scarab Jr.
Engine limits,"Maximum, except takeoff -- in. Hg., 2025 rpm (90 hp) 
 Takeoff (one minute) -- in. Hg., 2025 rpm (90 hp)"
Airspeed limits,"Level flight or climb - 110 mph Ind. 
 Glide or dive - 149 mph Ind."
Propeller,Maximum permissible diameter 86 in.
CG range,(+12) and (+16.7)
Empty weight CG range,Not available
Maximum weight,1852 lbs.
Number of Passengers,1 (+19)
Maximum baggage,102 lbs. (+39) (including anchor and line)
Fuel capacity,28 gallons (one tank at 19 gallons in right wing (+27) and one at 9 gallons in fuselage (-11.5)
Oil capacity,3 gallons (-21)
Serial Nos eligible,"2015, 2021, 2028, and up manufactured prior to September 30, 1939 eligible. Approval expired 
 as of that date."
Specifications Pertinent to all Models,
Datum,Center section leading edge
Leveling means,Not available
Certification basis,Approved Type Certificate 614 (expired) (Aero. Bulletin 7-A)
1,3 inch wheels (Goodyear 3 LMBM) with 18x8-3 tires
2,8 in. streamline tail wheel
3,"Engine ring cowl 
 9 lbs. 
 (-37)"
4,"Wheel streamlines 
 22 lbs."
5,"Wood - fixed or adjustable pitch 
 15 lbs. 
 (-45) 
 Seaplane: Items 3 and 5 plus"
7,"Edo 47-1965 floats with water rudder 
 263 lbs."
10,"Flares - three 1 min. (reduce baggage 15 lbs.) 
 10 lbs. 
 (+80)"
11,"Flares - five 1 min. (reduce baggage 23 lbs.) 
 15 lbs. 
 (+80)"
12,"Flares - three 1-1/2 min. (reduce baggage 26 lbs.) 
 17 lbs. 
 (+80)"
13,"Landing lights (Grimes retractable) 
 10 lbs. 
 (+19)"
14,"Battery and box (Exide 6TS7-1) 
 33 lbs. 
 (+39)"
15,"Battery and box (Exide E-AC-7-1) 
 13 lbs. 
 (+39)"
16,"Starter (Eclipse Y-150) 
 20 lbs. 
 (-22)"
17,"Airbrake (flaps) (Landplane only) 
 6 lbs. 
 (+11)"
18,"Cabin heater 
 4 lbs. 
 (-22)"
19,"Special finish 
 8 lbs. 
 (+60)"
20,"Special instruments 
 6 lbs. 
 (- 5)"
21,"Battery 
 32 lbs. 
 (+39)"
22,"Radio (RCA AVR-7 or 7A) 
 23 lbs. 
 (+39)"
23,"Two 6-volt hot shot batteries for radio 
 20 lbs. 
 (+39)"
24,"Battery (Reading 3-BRL-9) 
 9 lbs. 
 (+39)"
25,"Carburetor heater 
 6 lbs. 
 (-16)"
26,"Emergency window (left side) 
 Note 1: Eligible for export as follows subject to inspection for equipment specified in Chapter XII of 
 Inspection Handbook: (April 9, 1937) 
 (a) Canada 
 - Landplane 
 - Skiplane -- not eligible 
 - Seaplane -- not eligible 
 (b) All other countries except Great Britain and Australia. 
 Note 2: Aircraft eligible are also approved with: 
 (a) Conventional or differential aileron control with cable and push-pull tube control systems 
 respectively. 
 (b) Flap operating mechanism including automobile window type lift. 
 (c) Brake operating mechanism, including pedals, located between the rudder pedals and 
 interconnected to a hand lever at the upper left side of the cabin. 
 (d) Balanced elevators replacing unbalanced type. (Balanced type have increased area and 
 increased tab area.)"
